term,variable,clase_origen,ola_origen,periodo,clase_destino,comparacion,coeficiente,se,z,p_value,or,or_ic_lower,or_ic_upper,significativo,signo,interpretacion
edad^4,Edad,3,2021,2021_2023,3,Clase 3 vs Clase 1,-1.8207,0.4056,-4.4891,0,0.1619,0.0731,0.3585,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
d1_1,Percepción de conflicto,3,2021,2021_2023,2,Clase 2 vs Clase 1,-0.595,0.1408,-4.2253,0,0.5516,0.4185,0.7269,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
d5_1,Justicia procedimental,3,2021,2021_2023,2,Clase 2 vs Clase 1,0.6506,0.1502,4.3298,0,1.9166,1.4277,2.5729,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
d5_1,Justicia procedimental,3,2021,2021_2023,3,Clase 3 vs Clase 1,1.651,0.2169,7.6133,0,5.212,3.4074,7.9725,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
d5_1,Justicia procedimental,3,2021,2021_2023,4,Clase 4 vs Clase 1,1.602,0.2095,7.6462,0,4.9631,3.2916,7.4835,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
d6_1,Identificación con la causa,3,2021,2021_2023,2,Clase 2 vs Clase 1,-0.9027,0.1999,-4.5159,0,0.4055,0.274,0.6,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
d6_1,Identificación con la causa,3,2021,2021_2023,3,Clase 3 vs Clase 1,-1.8211,0.2799,-6.5067,0,0.1618,0.0935,0.2801,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
d6_1,Identificación con la causa,3,2021,2021_2023,4,Clase 4 vs Clase 1,-1.0001,0.2687,-3.7225,2e-4,0.3678,0.2172,0.6228,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
intercept,intercept,4,2023,2023_?,2,Clase 2 vs Clase 1,4.9765,1.4827,3.3564,8e-4,144.9701,7.9283,2650.8023,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
intercept,intercept,4,2023,2023_?,3,Clase 3 vs Clase 1,5.9078,1.4815,3.9878,1e-4,367.8981,20.1679,6711.1173,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
edad.L,Edad,4,2023,2023_?,2,Clase 2 vs Clase 1,-6.5447,0.4855,-13.4803,0,0.0014,6e-4,0.0037,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
edad.L,Edad,4,2023,2023_?,3,Clase 3 vs Clase 1,-6.2841,0.509,-12.3453,0,0.0019,7e-4,0.0051,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
edad.L,Edad,4,2023,2023_?,4,Clase 4 vs Clase 1,-6.3319,0.5606,-11.2949,0,0.0018,6e-4,0.0053,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
edad.Q,Edad,4,2023,2023_?,2,Clase 2 vs Clase 1,6.6749,0.4201,15.8885,0,792.2904,347.759,1805.0552,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
edad.Q,Edad,4,2023,2023_?,3,Clase 3 vs Clase 1,6.1902,0.4683,13.2193,0,487.9389,194.8793,1221.7014,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
edad.Q,Edad,4,2023,2023_?,4,Clase 4 vs Clase 1,5.4485,0.5285,10.3084,0,232.4106,82.4794,654.8871,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
edad.C,Edad,4,2023,2023_?,2,Clase 2 vs Clase 1,-4.007,0.5325,-7.5247,0,0.0182,0.0064,0.0516,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
edad.C,Edad,4,2023,2023_?,3,Clase 3 vs Clase 1,-3.4871,0.5128,-6.8003,0,0.0306,0.0112,0.0836,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
edad.C,Edad,4,2023,2023_?,4,Clase 4 vs Clase 1,-3.3562,0.5811,-5.7755,0,0.0349,0.0112,0.1089,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
edad^4,Edad,4,2023,2023_?,2,Clase 2 vs Clase 1,2.0172,0.5566,3.6242,3e-4,7.5173,2.5251,22.3793,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
edad^4,Edad,4,2023,2023_?,3,Clase 3 vs Clase 1,1.4505,0.5387,2.6925,0.0071,4.2651,1.4838,12.2598,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
edad^4,Edad,4,2023,2023_?,4,Clase 4 vs Clase 1,1.6676,0.5871,2.8403,0.0045,5.2994,1.6767,16.7489,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
d1_1,Percepción de conflicto,4,2023,2023_?,2,Clase 2 vs Clase 1,-0.5892,0.2389,-2.4666,0.0136,0.5547,0.3473,0.886,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
d5_1,Justicia procedimental,4,2023,2023_?,2,Clase 2 vs Clase 1,-0.6255,0.1867,-3.3502,8e-4,0.535,0.371,0.7714,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
d5_1,Justicia procedimental,4,2023,2023_?,4,Clase 4 vs Clase 1,-1.1034,0.2327,-4.7408,0,0.3318,0.2102,0.5235,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
d6_1,Identificación con la causa,4,2023,2023_?,3,Clase 3 vs Clase 1,-0.4516,0.1978,-2.2837,0.0224,0.6366,0.432,0.938,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
