k,logLik,AIC,BIC,n,TT,delta_BIC,delta_AIC
1,-12298.523439310584,24605.046878621168,24625.38378430956,1193,4,NA,NA
2,-11060.92927730771,22221.85855461542,22476.069875720317,1193,4,-2149.3139085892435,-2383.188324005747
3,-10236.618896908321,20721.237793816643,21351.681870156783,1193,4,-1124.3880055635345,-1500.620760798778
4,-9690.218448721605,19832.43689744321,20981.47206883734,1193,4,-370.2098013194409,-888.8008963734319
5,-9547.453231466958,19806.906462933915,21616.891069200774,1193,4,635.4190003634321,-25.530434509295446
6,-9377.001879989339,19782.003759978677,22395.296140937007,1193,4,778.4050717362334,-24.902702955238055
