term,variable,clase_origen,ola_origen,periodo,clase_destino,comparacion,coeficiente,se,z,p_value,or,or_ic_lower,or_ic_upper,significativo,signo
d6_1,Identificación con la causa,1,2016,2016_2018,3,Clase 3 vs Clase 1,0.433,0.1292,3.3515,8e-4,1.5419,1.197,1.9862,TRUE,positivo
d6_1,Identificación con la causa,1,2016,2016_2018,4,Clase 4 vs Clase 1,0.2073,0.129,1.6077,0.1079,1.2304,0.9556,1.5842,FALSE,positivo
c13,Frecuencia de contacto,1,2016,2016_2018,2,Clase 2 vs Clase 1,0.0597,0.1023,0.5835,0.5595,1.0615,0.8687,1.2971,FALSE,positivo
c13,Frecuencia de contacto,1,2016,2016_2018,3,Clase 3 vs Clase 1,0.1584,0.1047,1.5129,0.1303,1.1716,0.9543,1.4384,FALSE,positivo
c13,Frecuencia de contacto,1,2016,2016_2018,4,Clase 4 vs Clase 1,-0.1876,0.1113,-1.6852,0.092,0.829,0.6665,1.0311,FALSE,negativo
intercept,intercept,2,2018,2018_2021,2,Clase 2 vs Clase 1,-0.3764,0.8701,-0.4326,0.6653,0.6863,0.1247,3.7775,FALSE,negativo
intercept,intercept,2,2018,2018_2021,3,Clase 3 vs Clase 1,-2.7323,1.5225,-1.7947,0.0727,0.0651,0.0033,1.2862,FALSE,negativo
intercept,intercept,2,2018,2018_2021,4,Clase 4 vs Clase 1,-6.3129,1.2665,-4.9844,0,0.0018,2e-4,0.0217,TRUE,negativo
urbano_rural,Zona urbana,2,2018,2018_2021,2,Clase 2 vs Clase 1,-0.1969,0.2536,-0.7765,0.4375,0.8213,0.4997,1.35,FALSE,negativo
urbano_rural,Zona urbana,2,2018,2018_2021,3,Clase 3 vs Clase 1,0.0987,0.4015,0.2459,0.8057,1.1038,0.5025,2.4247,FALSE,positivo
urbano_rural,Zona urbana,2,2018,2018_2021,4,Clase 4 vs Clase 1,-0.4943,0.3502,-1.4114,0.1581,0.61,0.307,1.2118,FALSE,negativo
mujerMujer,Mujer,2,2018,2018_2021,2,Clase 2 vs Clase 1,0.1487,0.2466,0.6031,0.5465,1.1603,0.7156,1.8815,FALSE,positivo
mujerMujer,Mujer,2,2018,2018_2021,3,Clase 3 vs Clase 1,0.2426,0.3778,0.6421,0.5208,1.2745,0.6078,2.6727,FALSE,positivo
mujerMujer,Mujer,2,2018,2018_2021,4,Clase 4 vs Clase 1,0.3597,0.3463,1.0385,0.299,1.4328,0.7268,2.8248,FALSE,positivo
indiindi,Identidad indígena,2,2018,2018_2021,2,Clase 2 vs Clase 1,-0.1334,0.2525,-0.5284,0.5972,0.8751,0.5335,1.4354,FALSE,negativo
indiindi,Identidad indígena,2,2018,2018_2021,3,Clase 3 vs Clase 1,0.6142,0.4109,1.4949,0.135,1.8481,0.826,4.1348,FALSE,positivo
indiindi,Identidad indígena,2,2018,2018_2021,4,Clase 4 vs Clase 1,-0.4085,0.3403,-1.2003,0.23,0.6646,0.3411,1.295,FALSE,negativo
edad.L,Edad,2,2018,2018_2021,2,Clase 2 vs Clase 1,1.145,0.9342,1.2257,0.2203,3.1424,0.5036,19.6092,FALSE,positivo
edad.L,Edad,2,2018,2018_2021,3,Clase 3 vs Clase 1,-1.0842,0.5171,-2.0965,0.036,0.3382,0.1227,0.9318,TRUE,negativo
edad.L,Edad,2,2018,2018_2021,4,Clase 4 vs Clase 1,-0.3177,0.5432,-0.5848,0.5587,0.7279,0.251,2.1108,FALSE,negativo
edad.Q,Edad,2,2018,2018_2021,2,Clase 2 vs Clase 1,-0.6228,0.8561,-0.7274,0.467,0.5365,0.1002,2.8726,FALSE,negativo
edad.Q,Edad,2,2018,2018_2021,3,Clase 3 vs Clase 1,0.8714,0.5072,1.7181,0.0858,2.3902,0.8846,6.4586,FALSE,positivo
edad.Q,Edad,2,2018,2018_2021,4,Clase 4 vs Clase 1,0.4988,0.5434,0.9179,0.3586,1.6468,0.5676,4.7774,FALSE,positivo
edad.C,Edad,2,2018,2018_2021,2,Clase 2 vs Clase 1,0.6835,0.6246,1.0942,0.2739,1.9808,0.5823,6.738,FALSE,positivo
edad.C,Edad,2,2018,2018_2021,3,Clase 3 vs Clase 1,-0.7906,0.4741,-1.6675,0.0954,0.4536,0.1791,1.1487,FALSE,negativo
edad.C,Edad,2,2018,2018_2021,4,Clase 4 vs Clase 1,-0.4673,0.4596,-1.0167,0.3093,0.6267,0.2546,1.5427,FALSE,negativo
edad^4,Edad,2,2018,2018_2021,2,Clase 2 vs Clase 1,-0.3606,0.4021,-0.8969,0.3698,0.6973,0.3171,1.5333,FALSE,negativo
edad^4,Edad,2,2018,2018_2021,3,Clase 3 vs Clase 1,0.1921,0.4316,0.445,0.6563,1.2118,0.52,2.8236,FALSE,positivo
edad^4,Edad,2,2018,2018_2021,4,Clase 4 vs Clase 1,-0.6669,0.4192,-1.5908,0.1117,0.5133,0.2257,1.1674,FALSE,negativo
edad^5,Edad,2,2018,2018_2021,2,Clase 2 vs Clase 1,0.081,0.2922,0.2771,0.7817,1.0843,0.6116,1.9226,FALSE,positivo
edad^5,Edad,2,2018,2018_2021,3,Clase 3 vs Clase 1,0.1063,0.4155,0.2559,0.798,1.1122,0.4926,2.5108,FALSE,positivo
edad^5,Edad,2,2018,2018_2021,4,Clase 4 vs Clase 1,0.6643,0.4455,1.4913,0.1359,1.9432,0.8116,4.6529,FALSE,positivo
d1_1,Percepción de conflicto,2,2018,2018_2021,2,Clase 2 vs Clase 1,-0.1788,0.115,-1.5546,0.12,0.8363,0.6675,1.0477,FALSE,negativo
d1_1,Percepción de conflicto,2,2018,2018_2021,3,Clase 3 vs Clase 1,0.0372,0.2053,0.1811,0.8563,1.0379,0.6941,1.5519,FALSE,positivo
d1_1,Percepción de conflicto,2,2018,2018_2021,4,Clase 4 vs Clase 1,-0.006,0.1634,-0.0365,0.9709,0.9941,0.7217,1.3692,FALSE,negativo
c5,Confianza en pueblos originarios,2,2018,2018_2021,2,Clase 2 vs Clase 1,0.5107,0.1426,3.5821,3e-4,1.6665,1.2602,2.2037,TRUE,positivo
c5,Confianza en pueblos originarios,2,2018,2018_2021,3,Clase 3 vs Clase 1,0.368,0.1964,1.8737,0.061,1.4448,0.9832,2.1232,FALSE,positivo
c5,Confianza en pueblos originarios,2,2018,2018_2021,4,Clase 4 vs Clase 1,0.4332,0.1869,2.3174,0.0205,1.5422,1.0691,2.2246,TRUE,positivo
d5_1,Justicia procedimental,2,2018,2018_2021,2,Clase 2 vs Clase 1,-0.5552,0.1299,-4.2752,0,0.574,0.445,0.7403,TRUE,negativo
