class,prevalence_initial_mean,prevalence_average_marginal,prevalence_initial_mean_pct,prevalence_average_marginal_pct
1,0.40687612063012485,0.34918371020784467,40.7,34.9
2,0.2534453369005521,0.26561091452089036,25.3,26.6
3,0.21439840604567612,0.2512965137288423,21.4,25.1
4,0.1252801364236474,0.1339088615424226,12.5,13.4
