folio,ola,urbano_rural,mujer,indi,edad,d1_1,c5,d5_1,d6_1,c13,d3_1_red,d3_2_red,d4_2_red,d4_3_red,time4
110100805,4,1,Mujer,no_indi,25_34,3,4,5,1,1,2,1,1,2,4
110100808,1,1,Mujer,indi,55_64,3,3,2,4,3,2,1,1,1,1
110100808,2,1,Mujer,indi,55_64,3,4,4,5,4,1,1,1,1,2
110100808,3,1,Mujer,indi,55_64,5,4,2,4,1,2,1,1,1,3
110100808,4,1,Mujer,indi,55_64,5,5,1,5,4,1,1,1,1,4
110100904,1,1,Mujer,no_indi,45_54,3,3,2,3,3,2,1,1,1,1
110100904,2,1,Mujer,no_indi,45_54,4,3,1,3,3,1,1,1,1,2
110100904,3,1,Mujer,no_indi,55_64,5,3,2,3,3,1,1,2,1,3
110100904,4,1,Mujer,no_indi,55_64,5,3,2,3,3,1,1,2,1,4
110100908,1,1,Hombre,indi,35_44,5,3,3,4,4,2,2,2,2,1
110100908,2,1,Hombre,indi,35_44,3,3,3,3,5,2,1,1,1,2
110100908,3,1,Hombre,indi,45_54,4,3,2,4,3,1,1,2,1,3
110100908,4,1,Hombre,indi,45_54,5,1,3,2,3,2,2,1,2,4
110101009,1,1,Mujer,indi,25_34,4,4,2,5,4,1,1,1,2,1
110101009,2,1,Mujer,indi,35_44,4,4,4,4,5,2,1,1,1,2
110101009,3,1,Mujer,indi,35_44,5,5,5,5,5,1,1,2,2,3
110101009,4,1,Mujer,indi,35_44,5,5,4,5,5,1,1,2,2,4
110101010,1,1,Mujer,indi,45_54,4,4,2,5,5,2,1,2,1,1
110101010,2,1,Mujer,indi,45_54,4,4,2,5,4,2,1,2,2,2
110101010,3,1,Mujer,indi,45_54,4,5,3,5,3,2,1,2,2,3
110101010,4,1,Mujer,indi,45_54,4,4,2,4,1,1,1,1,1,4
110101101,1,1,Mujer,indi,25_34,5,3,4,4,2,2,1,1,2,1
110101101,2,1,Mujer,indi,25_34,4,3,4,3,2,1,1,1,1,2
110101101,3,1,Mujer,indi,25_34,5,3,4,3,1,2,1,1,1,3
110101101,4,1,Mujer,no_indi,25_34,1,4,4,3,3,1,1,1,1,4
110101102,1,1,Mujer,indi,45_54,4,4,3,4,4,2,1,2,2,1
110101102,2,1,Mujer,indi,45_54,3,4,4,4,4,1,1,1,1,2
110101102,3,1,Mujer,indi,55_64,4,3,3,4,2,1,1,2,2,3
110101102,4,1,Mujer,indi,55_64,5,3,3,5,3,1,1,2,2,4
110101107,1,1,Mujer,no_indi,18_24,2,3,3,2,4,1,1,1,1,1
110101107,2,1,Mujer,no_indi,18_24,4,3,4,3,4,1,1,1,1,2
110101107,3,1,Mujer,no_indi,25_34,1,3,3,4,2,1,1,1,1,3
110101107,4,1,Mujer,no_indi,25_34,1,3,1,4,2,1,1,1,1,4
110101108,1,1,Mujer,no_indi,25_34,4,4,4,4,5,2,1,2,1,1
110101108,2,1,Mujer,no_indi,25_34,4,4,4,4,3,2,2,1,1,2
110101108,3,1,Mujer,no_indi,25_34,4,3,2,4,4,1,1,2,2,3
110101108,4,1,Mujer,no_indi,25_34,1,3,4,3,3,1,1,1,1,4
110101202,1,1,Mujer,indi,35_44,4,4,2,4,3,1,1,1,1,1
110101202,2,1,Mujer,indi,35_44,5,5,2,4,3,1,1,1,1,2
110101202,3,1,Mujer,indi,45_54,3,3,2,3,3,1,1,1,1,3
110101202,4,1,Mujer,indi,45_54,2,4,3,4,1,1,1,1,1,4
110101207,1,1,Mujer,no_indi,35_44,4,3,2,2,2,1,1,1,1,1
110101207,2,1,Mujer,no_indi,35_44,3,1,2,2,3,1,1,2,2,2
110101207,3,1,Mujer,no_indi,35_44,3,2,3,4,3,1,1,2,1,3
110101207,4,1,Mujer,no_indi,35_44,3,3,1,3,2,1,1,1,1,4
110101208,1,1,Mujer,indi,65+,4,3,1,5,3,1,1,2,1,1
110101208,2,1,Mujer,indi,65+,4,4,2,5,5,1,1,1,1,2
110101208,3,1,Mujer,indi,65+,5,4,2,4,5,1,1,1,2,3
110101208,4,1,Mujer,indi,65+,4,4,1,5,5,1,1,2,1,4
110101211,1,1,Mujer,indi,35_44,3,4,3,3,1,1,1,1,1,1
110101211,2,1,Mujer,indi,35_44,4,4,2,5,3,2,1,2,2,2
110101211,3,1,Mujer,indi,35_44,5,4,3,4,5,2,2,2,2,3
110101211,4,1,Mujer,indi,45_54,3,3,4,4,3,1,1,1,2,4
110101304,1,1,Mujer,no_indi,45_54,3,3,3,2,1,1,1,1,1,1
110101304,2,1,Mujer,no_indi,45_54,3,3,3,3,2,2,1,1,1,2
110101304,3,1,Mujer,no_indi,55_64,5,5,3,4,3,2,2,2,1,3
110101304,4,1,Mujer,indi,55_64,4,3,2,4,1,1,1,2,2,4
110101308,1,1,Hombre,indi,18_24,3,3,2,5,4,2,1,2,2,1
110101308,2,1,Hombre,indi,25_34,4,4,2,4,3,2,1,1,1,2
110101308,3,1,Hombre,indi,25_34,5,4,3,4,5,1,1,1,2,3
110101308,4,1,Hombre,indi,25_34,4,3,4,5,4,2,1,1,1,4
110101310,1,1,Hombre,indi,18_24,4,4,3,4,5,2,1,1,1,1
110101310,2,1,Hombre,indi,18_24,4,4,5,2,3,2,2,1,1,2
110101310,3,1,Hombre,indi,18_24,4,3,2,2,3,2,2,1,1,3
110101310,4,1,Hombre,indi,18_24,3,4,4,3,3,2,2,1,1,4
110101401,1,1,Mujer,indi,45_54,4,5,2,5,3,1,1,1,1,1
